phoneme,file,audio_kind,commons_file,commons_page,author,uploader,licence,licence_url,date
m,u006d.ogg,isolated_phoneme,Bilabial nasal.ogg,https://commons.wikimedia.org/wiki/File:Bilabial_nasal.ogg,Karmosin~commonswiki,Karmosin~commonswiki,CC BY-SA 3.0,http://creativecommons.org/licenses/by-sa/3.0/,
ɱ,u0271.ogg,isolated_phoneme,Labiodental nasal.ogg,https://commons.wikimedia.org/wiki/File:Labiodental_nasal.ogg,Karmosin~commonswiki,Karmosin~commonswiki,CC BY-SA 3.0,http://creativecommons.org/licenses/by-sa/3.0/,
n,u006e.ogg,isolated_phoneme,Alveolar nasal.ogg,https://commons.wikimedia.org/wiki/File:Alveolar_nasal.ogg,Peter Isotalo,Peter Isotalo,CC BY-SA 3.0,http://creativecommons.org/licenses/by-sa/3.0/,
ɳ,u0273.ogg,isolated_phoneme,Retroflex nasal.ogg,https://commons.wikimedia.org/wiki/File:Retroflex_nasal.ogg,Karmosin~commonswiki,Karmosin~commonswiki,CC BY-SA 3.0,http://creativecommons.org/licenses/by-sa/3.0/,
ɲ,u0272.ogg,isolated_phoneme,Palatal nasal.ogg,https://commons.wikimedia.org/wiki/File:Palatal_nasal.ogg,Karmosin~commonswiki,Karmosin~commonswiki,CC BY-SA 3.0,http://creativecommons.org/licenses/by-sa/3.0/,
ŋ,u014b.ogg,isolated_phoneme,Velar nasal.ogg,https://commons.wikimedia.org/wiki/File:Velar_nasal.ogg,Karmosin~commonswiki,Karmosin~commonswiki,CC BY-SA 3.0,http://creativecommons.org/licenses/by-sa/3.0/,
ɴ,u0274.ogg,isolated_phoneme,Uvular nasal.ogg,https://commons.wikimedia.org/wiki/File:Uvular_nasal.ogg,Karmosin~commonswiki,Karmosin~commonswiki,CC BY-SA 3.0,http://creativecommons.org/licenses/by-sa/3.0/,
ʙ,u0299.ogg,isolated_phoneme,Bilabial trill.ogg,https://commons.wikimedia.org/wiki/File:Bilabial_trill.ogg,Karmosin~commonswiki,Karmosin~commonswiki,CC BY-SA 3.0,http://creativecommons.org/licenses/by-sa/3.0/,
r,u0072.ogg,isolated_phoneme,Alveolar trill.ogg,https://commons.wikimedia.org/wiki/File:Alveolar_trill.ogg,Karmosin~commonswiki,Karmosin~commonswiki,CC BY-SA 3.0,http://creativecommons.org/licenses/by-sa/3.0/,
ʀ,u0280.ogg,isolated_phoneme,Uvular trill.ogg,https://commons.wikimedia.org/wiki/File:Uvular_trill.ogg,Karmosin~commonswiki,Karmosin~commonswiki,CC BY-SA 3.0,http://creativecommons.org/licenses/by-sa/3.0/,
ⱱ,u2c71.ogg,isolated_phoneme,Labiodental flap.ogg,https://commons.wikimedia.org/wiki/File:Labiodental_flap.ogg,Peter Isotalo,Peter Isotalo,CC BY-SA 3.0,http://creativecommons.org/licenses/by-sa/3.0/,
ɾ,u027e.ogg,isolated_phoneme,Alveolar tap.ogg,https://commons.wikimedia.org/wiki/File:Alveolar_tap.ogg,Karmosin~commonswiki,Karmosin~commonswiki,CC BY-SA 3.0,http://creativecommons.org/licenses/by-sa/3.0/,
ɽ,u027d.ogg,isolated_phoneme,Retroflex flap.ogg,https://commons.wikimedia.org/wiki/File:Retroflex_flap.ogg,Karmosin~commonswiki,Karmosin~commonswiki,CC BY-SA 3.0,http://creativecommons.org/licenses/by-sa/3.0/,
ɸ,u0278.ogg,isolated_phoneme,Voiceless bilabial fricative.ogg,https://commons.wikimedia.org/wiki/File:Voiceless_bilabial_fricative.ogg,Karmosin~commonswiki,Karmosin~commonswiki,CC BY-SA 3.0,http://creativecommons.org/licenses/by-sa/3.0/,
β,u03b2.ogg,isolated_phoneme,Voiced bilabial fricative.ogg,https://commons.wikimedia.org/wiki/File:Voiced_bilabial_fricative.ogg,Peter Isotalo,Peter Isotalo,CC BY-SA 3.0,http://creativecommons.org/licenses/by-sa/3.0/,
f,u0066.ogg,isolated_phoneme,Voiceless labiodental fricative.ogg,https://commons.wikimedia.org/wiki/File:Voiceless_labiodental_fricative.ogg,Karmosin~commonswiki,Karmosin~commonswiki,CC BY-SA 3.0,http://creativecommons.org/licenses/by-sa/3.0/,
v,u0076.ogg,isolated_phoneme,Voiced labiodental fricative.ogg,https://commons.wikimedia.org/wiki/File:Voiced_labiodental_fricative.ogg,Karmosin~commonswiki,Karmosin~commonswiki,CC BY-SA 3.0,http://creativecommons.org/licenses/by-sa/3.0/,
θ,u03b8.ogg,isolated_phoneme,Voiceless Dental Fricative.ogg,https://commons.wikimedia.org/wiki/File:Voiceless_Dental_Fricative.ogg,HuiXingMusic,HuiXingMusic,CC0,http://creativecommons.org/publicdomain/zero/1.0/deed.en,2025-08-12
ð,u00f0.ogg,isolated_phoneme,Voiced dental fricative.ogg,https://commons.wikimedia.org/wiki/File:Voiced_dental_fricative.ogg,Peter Isotalo,Peter Isotalo,CC BY-SA 3.0,http://creativecommons.org/licenses/by-sa/3.0/,
s,u0073.ogg,isolated_phoneme,Voiceless alveolar sibilant.ogg,https://commons.wikimedia.org/wiki/File:Voiceless_alveolar_sibilant.ogg,Peter Isotalo,Peter Isotalo,CC BY-SA 3.0,http://creativecommons.org/licenses/by-sa/3.0/,2024-03-30
